,id,box
31592,7a5a1ce341067893,0.05 0.00 0.69 0.66
10649,b6ab978f4c121210,0.14 0.00 1.00 1.00
4940,624a2e32abb2e75c,0.08 0.14 0.79 0.32
13681,61b693e557f53429,0.09 0.64 0.39 0.95
20937,2b8063f652572bf7,0.05 0.00 0.45 1.00
4906,62994f0cb682fc77,0.17 0.20 0.48 0.93
11722,b398eb4820f898f0,0.00 0.00 0.96 1.00
6962,6550550bfb65add0,0.00 0.00 0.86 1.00
32229,332d961019dd4d94,0.16 0.00 0.49 1.00
24957,320777c216e22997,0.11 0.15 0.59 0.55
20593,762552f8adee7e6a,0.00 0.08 1.00 1.00
21941,b51dda2319b0aa6a,0.14 0.03 0.87 1.00
31530,624f263a497e56c0,0.05 0.00 1.00 1.00
17459,2a756c51014d40bf,0.28 0.00 0.71 0.78
9021,31dfe3c8f1298bfa,0.00 0.00 0.72 1.00
18969,2a28bba5262332de,0.20 0.41 0.69 0.63
12440,b65669f40ba8a1ec,0.65 0.73 0.89 0.96
29570,2a88ce197d94d50d,0.03 0.19 1.00 0.42
972,2a735ce4c93caf35,0.29 0.22 0.62 0.83
19698,78f9e64ca9b21f2f,0.17 0.05 1.00 1.00
3834,2ee0df06c07726a9,0.00 0.00 1.00 0.87
16598,f0ac71233ad35c16,0.33 0.00 0.69 0.97
13621,e7e0b17b3edf8e68,0.02 0.06 0.75 0.95
11672,efaa849d76e2cd1a,0.34 0.17 0.89 0.51
22377,fc015eb272399745,0.05 0.20 1.00 1.00
10449,50c27b5795ec372c,0.47 0.39 0.56 0.68
3021,9edc8e4f9d6a51fc,0.14 0.00 1.00 0.96
9637,7b273f2212c7c581,0.37 0.00 0.77 1.00
4347,2c9e3b49443e0db3,0.57 0.04 0.75 0.81
3119,766dc4a514db8ead,0.07 0.06 0.80 1.00
15779,b6483fe8d605f35f,0.00 0.00 0.97 0.49
9310,fb1532211e22428a,0.22 0.00 0.84 1.00
16661,7a02d506f615d191,0.35 0.41 0.70 1.00
18386,2e1c4f3d808d2362,0.00 0.00 1.00 1.00
22731,2e46189b44cf6d2f,0.33 0.00 1.00 1.00
26309,7852096cd47822b2,0.30 0.00 0.59 1.00
24787,ad0ca281ff5b7d41,0.42 0.00 0.65 0.92
21420,31d506527731481c,0.05 0.00 1.00 1.00
2892,7c6bf70d12166a1c,0.00 0.00 0.67 0.90
20424,2e373510097250e8,0.33 0.00 0.82 1.00
5563,630c4498c8fc1543,0.00 0.00 0.51 1.00
9944,ed98e288603c268f,0.00 0.65 0.79 1.00
3450,fa7cba321cc11873,0.32 0.81 0.49 1.00
27625,2b410138fd13e2a4,0.00 0.00 0.35 1.00
12900,73379d33df0770e1,0.07 0.00 1.00 1.00
13728,5afb8ced819f28e9,0.19 0.00 0.65 0.37
25987,50a1a77c04ce3f84,0.00 0.09 1.00 1.00
7238,fb24d8e133b23956,0.25 0.00 0.70 1.00
10781,3320471046b005f2,0.24 0.00 1.00 0.67
20138,f13f905697c4413a,0.04 0.00 0.59 1.00
9751,755ddcfa18b87b18,0.00 0.08 0.78 1.00
13590,2b59e091028780b8,0.27 0.00 0.53 1.00
3603,74b8cc79a2f73986,0.00 0.00 1.00 1.00
21846,62ae4156651e9d7c,0.00 0.00 1.00 1.00
19748,2c4231b0cc68b1c0,0.27 0.06 0.88 0.86
10284,b3bce0bfa1b6a54d,0.07 0.03 0.81 1.00
21897,62f35ae0f723785d,0.29 0.00 0.64 1.00
28599,4bea8428c848e8b3,0.13 0.15 0.93 0.81
21003,2a603bbcf9c4b994,0.00 0.00 0.83 1.00
1849,b4c65ab4bb845eca,0.00 0.00 0.88 1.00
6445,aa99a02fb3aa278a,0.00 0.00 1.00 0.85
20784,760e4b0e856b5b97,0.12 0.00 0.46 0.33
25590,768a8af5e0d88ae1,0.01 0.01 0.89 0.99
3473,2a8103d8cf85501a,0.08 0.00 1.00 1.00
18316,4fb6397725f06037,0.15 0.00 1.00 1.00
26759,7870795ab460c3df,0.39 0.04 0.55 0.22
11039,ac64cf16773c7425,0.00 0.00 1.00 1.00
7326,aaf6db731b54a633,0.09 0.26 0.63 0.81
10178,7a47f6f5ff716479,0.00 0.00 1.00 1.00
22455,7a2e5081248d890a,0.06 0.00 0.77 1.00
10192,ab5507f5e878506d,0.00 0.00 0.74 1.00
7805,7cca3f9fbf874edb,0.34 0.02 0.94 0.20
18574,2a1a25d5f7852b1f,0.21 0.00 0.63 1.00
15389,6592c0b94b426622,0.05 0.01 0.93 1.00
23234,792c28358309edcb,0.13 0.22 0.77 0.85
15205,7c234067279d8609,0.07 0.47 0.85 0.97
7715,b01ca0e391b91c34,0.17 0.36 0.72 0.68
5662,31de1cf1bc3b07f3,0.41 0.37 0.52 1.00
31957,6315e348c65f117e,0.00 0.28 0.42 0.59
20749,7b490ae0e7763629,0.00 0.00 1.00 1.00
7282,aa866abd49f4cdbc,0.01 0.09 1.00 1.00
25948,9b8a05789f6102cd,0.12 0.00 1.00 1.00
11088,2b86839f5fdfe37e,0.26 0.00 0.57 1.00
25212,2cc95f0bf0b6edc4,0.25 0.00 1.00 1.00
18362,2a74de95ff9126b2,0.18 0.23 0.81 1.00
4507,2c031e760d873316,0.24 0.00 0.59 0.82
15689,2a21295c71a93a0c,0.09 0.10 0.89 0.83
1556,3188ef2d51de4acb,0.18 0.00 0.93 1.00
13343,32c96c96c22b9813,0.02 0.14 0.90 0.67
30776,7469916a09b17848,0.20 0.00 0.83 0.78
19005,621bf799e5a9fc6f,0.22 0.00 1.00 0.69
18197,ea489fd7c46aa5a5,0.15 0.17 0.85 1.00
12491,75c7469f5141dee2,0.00 0.00 1.00 0.98
5810,ff7fc72c59eb8597,0.00 0.00 0.88 0.81
32128,9d3b5794938bb004,0.00 0.18 0.96 0.81
20520,4fbcdc728161fb13,0.00 0.00 0.97 1.00
1749,f2c58c45cae0a825,0.00 0.07 0.66 1.00
27151,2b270c41b4a59efa,0.21 0.38 0.58 0.82
31011,60316648ba9db7bc,0.06 0.00 1.00 1.00
17199,49a2e88c7f2bc8e1,0.09 0.00 0.94 1.00
21990,b65c35d67c301e9d,0.20 0.00 1.00 1.00
10965,738cde03a4d4b0fc,0.00 0.23 0.94 1.00
26151,9fcdb8f34d82c1db,0.00 0.23 0.82 1.00
27198,feb1ffe743c47558,0.29 0.17 0.86 0.88
1407,64ec84117c787f5d,0.12 0.23 0.84 0.78
27824,9ce3e3abdb4bd5b5,0.06 0.22 0.81 0.73
14563,b282603eabc8ffcf,0.25 0.23 0.70 0.79
30138,b5c328a102bd3e05,0.00 0.00 0.83 1.00
30003,2bf824256d7b8cf0,0.27 0.15 0.60 0.95
21441,3213591aeb2d4194,0.50 0.14 0.73 1.00
11759,de2be9ac498a1ec0,0.37 0.00 1.00 1.00
30781,2c41cd3e89c90b72,0.46 0.69 1.00 0.84
23490,aa49548421730605,0.32 0.46 0.47 0.56
13654,49e47467de6fc446,0.07 0.00 0.34 1.00
6055,2e5610e9ef0a1171,0.17 0.00 1.00 1.00
15644,2a9fe9d6ee367e83,0.24 0.38 0.74 0.56
8151,f12f88b881c64b20,0.26 0.00 1.00 1.00
3474,650fc5b763e301c7,0.00 0.00 0.98 0.80
13362,b5745c897af612b0,0.23 0.00 1.00 0.84
4631,2b4bdeda30964bd5,0.00 0.00 1.00 1.00
19306,32501d039694961b,0.00 0.00 0.61 1.00
5104,2c6189ac95c90c75,0.02 0.00 1.00 1.00
3792,2e46c32aaa56e655,0.28 0.33 0.73 0.78
14473,2dd8268f2958b6af,0.02 0.00 1.00 1.00
12403,2e489be0c6656372,0.00 0.00 0.67 0.74
15533,2a8939b239c520ee,0.42 0.00 1.00 0.46
10480,2ca3a9927c55b1d3,0.00 0.00 0.56 0.90
12250,9e6dabbe06d9901e,0.08 0.00 0.76 1.00
6916,60fbf7fcdec64213,0.15 0.34 0.72 0.76
17281,2bdf1405e237dcf1,0.08 0.37 0.31 0.71
15201,9d58120a32e2ed8a,0.05 0.00 1.00 1.00
18360,31f0a642ce690af4,0.13 0.00 1.00 1.00
17939,b05f5c4399e358fd,0.03 0.15 0.56 0.77
2552,b5870661046d5918,0.05 0.29 1.00 0.68
20180,b735025ce56663a9,0.07 0.20 0.87 0.32
1169,499086fa411567de,0.10 0.00 1.00 0.54
12012,9ca65045c4b45695,0.00 0.00 0.72 1.00
15509,76b0b3bb061740e9,0.00 0.00 0.88 1.00
25639,b38db2cde8e61852,0.00 0.00 1.00 1.00
25251,e57e089ef3c361c3,0.02 0.00 1.00 1.00
17705,0a6f73bf548a66dc,0.07 0.00 1.00 1.00
5180,2c7d0018b271b5e1,0.21 0.37 0.83 0.82
8463,7acb90af4d7ccd37,0.16 0.28 0.27 0.33
3698,fc4f34eb954ce02a,0.00 0.00 0.59 0.98
27521,72d35cef52bbd6dd,0.00 0.00 1.00 1.00
8857,2ecfe4ca0e4aea75,0.00 0.00 0.89 1.00
13605,2cbe258cc70010a6,0.23 0.00 0.65 0.53
32003,776b1fc5511f27c7,0.00 0.00 0.42 0.56
20498,2abcc9da5f5c8e68,0.33 0.75 0.56 1.00
17508,2b511a944a1258e0,0.13 0.16 0.85 0.58
15807,5b05560197c4374e,0.25 0.21 0.69 1.00
8683,2e4966d203a4625e,0.06 0.20 0.79 0.77
28684,78526f841c70cb12,0.18 0.00 0.72 1.00
20171,31f47c080f5a2ceb,0.00 0.02 0.55 1.00
20693,49b41b3028f7d2fd,0.31 0.00 1.00 1.00
11409,2cd8a404796cfe0e,0.06 0.00 0.78 0.85
7501,7748fcc50cf38190,0.06 0.00 0.80 0.43
7281,2db4f7b3ffd723a0,0.08 0.00 0.65 0.93
22229,334e2b36caa2d3a8,0.13 0.00 0.63 1.00
5564,49fcaf60acfdb719,0.11 0.00 1.00 1.00
19578,2a7271df467cf637,0.28 0.00 0.63 1.00
18582,739cd4f2f619ca3d,0.05 0.28 0.98 1.00
2818,77d8e8e9b6505b8f,0.39 0.00 1.00 1.00
14648,768ff39fd3984d11,0.01 0.00 1.00 0.49
24673,320532273073022a,0.15 0.04 0.64 0.93
19893,7c4602f9f572aebc,0.10 0.12 0.80 0.94
30518,b70d229855627686,0.10 0.00 1.00 1.00
12624,dffd8020d6cb20b3,0.21 0.53 1.00 1.00
4789,7a42311ee17dd416,0.62 0.10 0.69 0.39
21566,9ef2d932dca5d345,0.00 0.00 0.62 1.00
13878,49a4dd7ee406133f,0.09 0.00 0.99 1.00
6929,786008596ff027a0,0.05 0.00 0.81 1.00
15908,4f6a82a9a4a96758,0.00 0.17 0.59 1.00
29621,651facb516ea3734,0.03 0.00 0.96 0.85
14405,2bac6daeb863f50c,0.24 0.00 0.90 1.00
20014,b7774a34f5b0917b,0.23 0.00 0.66 1.00
28743,2a64ce5d7f264b60,0.00 0.08 1.00 1.00
21981,fd3b4183449a6a64,0.26 0.04 0.90 0.76
20710,641d9bb2be5ce3c2,0.39 0.17 0.57 0.69
16416,aceadb6116c6664b,0.00 0.00 1.00 0.68
28818,2c7af365761f8293,0.00 0.00 0.63 1.00
9285,f1e70492e086bfa9,0.19 0.30 0.55 1.00
10412,9cfb02be67600730,0.22 0.53 1.00 0.89
23673,2a13431192ea3f26,0.00 0.00 1.00 1.00
18103,2e8185e6e7225850,0.01 0.02 0.99 0.98
26057,c2745bd3774137bb,0.16 0.14 0.75 0.98
14211,6308ce41c71fcd68,0.35 0.61 0.58 1.00
27553,b2703c73fe9dc287,0.05 0.22 0.82 0.88
30570,6583b0c1ae1b232c,0.00 0.14 1.00 0.81
4630,2a5c27b9f3d815e7,0.06 0.38 1.00 0.70
9711,62a24467c6f4ff48,0.11 0.31 0.55 1.00
18382,6172e7266fa312a6,0.31 0.00 0.91 1.00
17996,2c356707e9e6ad27,0.10 0.25 0.76 0.63
16936,2a0d8c4a61ea0a16,0.16 0.00 1.00 0.97
12147,9f73d5b631b800c6,0.19 0.26 0.86 0.57
29825,2b12bb00e0bac1a4,0.24 0.00 0.63 1.00
26842,9a1719021ced009c,0.02 0.38 0.57 0.74
786,afcd03d61c68e68f,0.38 0.00 0.91 1.00
21763,2b089a4b9ec2ab8d,0.05 0.03 0.61 0.68
12898,5b256302271631f0,0.11 0.22 0.97 1.00
10505,2abb98fee0451eca,0.00 0.33 1.00 0.83
15228,60a68f17eb29f696,0.05 0.00 0.60 1.00
26523,79cd0d0e90cdb831,0.10 0.15 0.86 0.30
31745,b035b938a126fb1e,0.11 0.00 0.82 1.00
20604,49a3d3fc2f41e84c,0.35 0.00 0.88 0.82
5917,64663ae8b92ee480,0.19 0.09 0.79 0.87
10119,637bc6d6d60d726d,0.00 0.00 0.86 1.00
12602,2c4fc35dbc82816e,0.23 0.00 1.00 1.00
26970,97f508501c9a0e55,0.21 0.00 1.00 1.00
31134,2d3adc01d68e5f10,0.00 0.00 0.95 1.00
25998,789b31aadedb6538,0.29 0.00 1.00 1.00
5146,4a5ba33bf678f71a,0.14 0.00 0.82 1.00
26661,2d526683b2bdbfec,0.06 0.00 0.90 1.00
26475,b1a3fe9c4214a577,0.03 0.00 0.39 0.95
25068,798d176b6d4b90ae,0.14 0.46 0.58 1.00
15285,9d6a22221dfdd2b7,0.05 0.07 0.90 0.87
2994,fd7465088d961df2,0.00 0.00 0.76 1.00
3716,77b4368636dbd0ef,0.07 0.32 1.00 1.00
8090,2a0aa4152ef778d2,0.00 0.00 0.44 1.00
17661,2c538ed07aca5ba2,0.00 0.31 0.92 1.00
26477,2a942752aab71a78,0.04 0.16 0.42 0.36
890,2c2aaafeb22d7e37,0.18 0.09 0.36 0.15
9822,75f918dcfc4eef1c,0.08 0.00 0.66 0.39
21115,7cc68e2e3f31606f,0.23 0.41 0.70 0.94
16770,2a70008e327d50c1,0.26 0.18 0.60 1.00
6487,b882547f83fef4e9,0.38 0.32 0.54 1.00
5316,64a6be3bae69b61b,0.00 0.00 1.00 1.00
14414,2c0d77c460a257d6,0.06 0.00 1.00 1.00
1963,9e0c79888c101974,0.11 0.25 0.29 0.35
22929,b53b4f3414ab9f8b,0.27 0.00 0.57 1.00
4728,ea4bbe52224fa10f,0.46 0.58 0.76 0.82
27022,eab5714191331b38,0.00 0.00 1.00 1.00
11077,614c812856bca709,0.42 0.07 0.75 0.91
8210,ae71cc262c32acce,0.00 0.00 0.60 1.00
15524,2a52375afd1c383b,0.00 0.14 0.40 0.76
12853,7afbd79bf2ba1654,0.19 0.00 0.60 0.96
10545,c24133540667f8ed,0.14 0.00 0.90 1.00
11266,f459b100c0963c21,0.35 0.00 0.92 0.89
1050,9d0cbac32e0c7400,0.16 0.24 0.78 0.90
28079,ae61409d3a326cf3,0.00 0.00 1.00 1.00
31599,9cc5d8e3afdd37b4,0.07 0.00 0.73 1.00
13290,2ab6ee83294aa9d6,0.08 0.00 0.84 1.00
28735,b8fbfc646e9e7458,0.21 0.06 0.66 1.00
16949,789c5daf3774cddd,0.18 0.44 0.77 0.72
6852,2f1633d7f4e19795,0.13 0.01 0.84 0.96
19393,3eb000d04c2d5da8,0.06 0.00 0.88 0.90
26866,2c87595a190102b1,0.20 0.00 0.51 1.00
27616,b223b920584bd03a,0.19 0.32 0.51 0.45
13297,64fd80f5c9a9748a,0.42 0.00 1.00 1.00
21314,d12093f28332b7d0,0.00 0.00 0.97 1.00
29655,9f25fba09b8332f4,0.41 0.26 0.59 0.51
25842,7b1ab3f6f005d1e6,0.19 0.00 1.00 1.00
3236,afd5a0cc272a428b,0.11 0.14 0.89 0.91
6040,2a2178027be87471,0.00 0.00 0.99 1.00
4776,b6332b0565568a4b,0.00 0.00 1.00 1.00
11679,ec0d0c705519fe2e,0.00 0.00 1.00 1.00
5336,604307dfd4b608a9,0.09 0.28 0.33 0.91
24468,b258d1f4737bd4ad,0.19 0.00 0.56 1.00
12064,9d8fa2e5206669db,0.50 0.02 0.64 0.27
9828,2a2dbcfe72347117,0.32 0.27 0.86 1.00
12966,2eb79824b9a761eb,0.00 0.44 0.44 0.64
30572,2b06c299979d071b,0.16 0.08 0.54 0.45
31166,2a09e7d0df76aa85,0.11 0.16 0.74 0.96
25967,2b7850a946cfa240,0.00 0.00 1.00 1.00
3963,75b816af411e05a0,0.01 0.29 0.52 0.61
22819,fa5bd985e440ce4e,0.00 0.15 0.41 1.00
17332,50417a21d633689d,0.29 0.00 0.49 0.77
18781,605490216cbeef01,0.33 0.23 1.00 0.96
28930,2b1e7d497b4f54a4,0.00 0.12 0.94 1.00
2804,3347a4663aa0e428,0.33 0.25 0.61 0.97
22685,2e08fd7d24764c19,0.01 0.41 0.72 0.88
7188,49ef32782e5d87a4,0.22 0.32 0.69 0.66
15026,652fd12c259babd1,0.04 0.23 1.00 1.00
31377,2d64e295a05d7267,0.21 0.00 1.00 0.89
4494,fed8d8554735324b,0.02 0.09 1.00 0.98
12338,6579626c8bd9f78b,0.25 0.27 0.59 0.83
23096,ac741655c3b19cb8,0.00 0.00 0.86 1.00
10086,60b8e14234ea55f8,0.04 0.30 0.64 1.00
19785,2b0f2bc1528cb416,0.15 0.00 0.52 1.00
28176,639e34f26a336b9d,0.00 0.00 1.00 0.62
11820,9e9d151e86c3dec5,0.17 0.22 0.99 0.82
16806,b5068acd4173abbb,0.00 0.00 0.68 1.00
4851,2a11fe7198a9b75d,0.00 0.10 1.00 1.00
103,2cdd6c18a2603a3d,0.21 0.13 0.83 1.00
22946,617ca83956e79fdb,0.21 0.00 0.53 0.74
3513,2b7fb7c7c66e685e,0.44 0.07 0.85 0.89
11649,b06b8a78069706c5,0.04 0.11 0.85 0.74
15802,2e2c8bc3c94d16a7,0.53 0.36 0.87 0.83
14153,7a19d1fb27a4208e,0.00 0.01 1.00 1.00
28035,2e730291f0caec88,0.00 0.28 0.58 1.00
17064,7c75726e4dff8c9a,0.30 0.28 0.87 0.78
27464,4fd571b4911a4005,0.10 0.23 0.96 0.90
16302,2a6699d7a6d6b1e1,0.01 0.00 1.00 1.00
2105,2e7189fcdee0774c,0.20 0.00 0.77 1.00
15998,656b4986a576a12c,0.00 0.00 0.72 1.00
29388,9ff20078a0cecb97,0.00 0.00 1.00 1.00
26411,2d0e4e20eae28be7,0.00 0.00 1.00 1.00
21856,737b114a5ca0a401,0.00 0.01 1.00 0.68
15628,2bfc3d46be2a3c2f,0.17 0.00 0.67 0.99
10828,f02caf7b33840886,0.04 0.07 0.85 0.91
28503,650f9d59b49d0542,0.00 0.00 1.00 1.00
20475,eff995d729ea4c03,0.00 0.00 0.93 1.00
6169,300994a6a2748880,0.05 0.06 0.99 0.73
1288,497fbd0663de9727,0.35 0.00 0.86 0.66
30958,cac8439df17a90ad,0.00 0.00 0.74 1.00
9235,64def19816e80f8f,0.12 0.00 1.00 0.69
9230,2bc356c4e782c37d,0.00 0.18 0.98 0.98
10749,2d859443b3567d3e,0.02 0.28 0.82 0.83
20628,dfd6e236b72532c8,0.03 0.00 1.00 1.00
31473,2ce5ca9c3f5ea8b5,0.43 0.40 0.66 0.74
12586,64b4ff5909cb71ef,0.00 0.00 0.87 1.00
7804,9fb0ea2823582056,0.52 0.16 0.77 1.00
14176,fc1a005f42e84a16,0.00 0.01 1.00 1.00
1397,627b7fbb93285a92,0.00 0.06 1.00 1.00
30961,65704645fa9f8e9a,0.20 0.11 0.76 0.84
3486,2b3f3d3b50c15e6c,0.31 0.23 1.00 0.75
31832,614fa54ee9610f72,0.00 0.00 1.00 1.00
4822,9c4ddac0f6491783,0.18 0.13 0.85 0.29
25174,50f21aea28517c79,0.00 0.00 1.00 1.00
29656,65840ce3e7866c01,0.36 0.21 0.76 0.94
120,4a295e1e6a6e2a2b,0.06 0.00 0.94 1.00
22693,788fd21e1af4e713,0.01 0.00 1.00 1.00
20985,7a88d3f00b3df358,0.24 0.00 0.63 1.00
10115,2b31048337f46402,0.06 0.00 0.88 1.00
553,7c199d7e17215961,0.28 0.16 0.43 0.70
31941,debb72cb09c77afe,0.15 0.12 0.96 1.00
31972,64612e962425ffa1,0.00 0.00 0.83 0.80
25228,f32ac24985035263,0.24 0.00 0.59 0.85
4562,2a794b654876b7aa,0.09 0.00 0.67 1.00
13549,2bf5374c738f0eaa,0.03 0.00 1.00 1.00
18171,b7a1d0dffd519852,0.25 0.00 1.00 1.00
19414,9f65f5d1e91992e6,0.46 0.08 0.95 0.34
15643,b826615131f570c3,0.00 0.00 1.00 1.00
31306,49a981b6ba83a172,0.00 0.28 0.81 0.75
4541,60bcb3ec1082f15e,0.01 0.02 0.44 1.00
6041,2eb5d0437a00bf38,0.00 0.11 0.95 0.83
25008,3ee317fb46833236,0.16 0.02 0.47 0.87
25757,60c09fa0c4193aff,0.00 0.02 0.87 0.65
25546,2a8969d599062d98,0.00 0.00 1.00 1.00
13379,deaf0dfc5955121e,0.00 0.00 1.00 1.00
11443,f1056cac1a561f1b,0.01 0.00 1.00 1.00
17478,ec1bc53cdd6c258d,0.00 0.00 1.00 0.90
10616,2b13c6d88cb5964a,0.00 0.10 0.74 1.00
11002,9df0a4afeeb2b214,0.12 0.00 1.00 1.00
28310,74a209d957d1f953,0.30 0.00 1.00 1.00
30217,2d68c2a84fc4d300,0.00 0.00 0.12 1.00
28075,2b5a260fc7ac658c,0.24 0.18 0.81 0.37
443,2e8fb3ac4cbbf5bf,0.29 0.40 0.72 1.00
4994,2e2a085babe296cd,0.20 0.00 1.00 1.00
22968,73563b261ed854b2,0.04 0.20 0.89 0.80
10340,2cf2d9e80d24e465,0.00 0.00 0.84 1.00
21803,619294dffd747f0e,0.00 0.26 0.66 0.58
18953,fa21c730b607e106,0.00 0.14 0.87 0.80
17250,b37e1a8985248a98,0.04 0.05 0.96 0.95
12382,2a49e5872c9f9e25,0.42 0.00 1.00 1.00
24769,7a0c0e8a828b5a79,0.36 0.07 0.57 1.00
7422,2f1b880a0ec43a6a,0.00 0.00 0.99 1.00
21683,49abdd39ffa503d9,0.00 0.28 0.63 0.68
13520,786f2d90a3d545d5,0.03 0.26 0.88 0.67
20426,7a9e6f0f3795c905,0.00 0.06 1.00 1.00
27633,8a55ee66f25806f6,0.43 0.02 0.84 0.94
16400,63c42aa21403b846,0.06 0.46 1.00 1.00
28093,9e31324b32cf45ad,0.03 0.09 0.91 0.88
4160,7b65d15f2d0b29c3,0.32 0.27 0.50 1.00
30043,dff0707c02aa54a6,0.00 0.53 0.71 1.00
16707,6051fd1c11a0e48f,0.15 0.04 0.82 0.54
15258,2a7a229dca383f52,0.21 0.00 1.00 1.00
14048,2ab1616d620eb976,0.11 0.81 0.49 1.00
25667,2a680259b2fe1624,0.00 0.47 0.59 1.00
3948,b769b74af7b0c43d,0.02 0.00 0.48 1.00
22118,b88cd147d9fa66f7,0.02 0.32 0.96 0.71
26016,63b43357bf563790,0.30 0.00 1.00 1.00
10279,ff01c49677557ff2,0.03 0.33 0.89 0.67
19098,b081a1d4fdab956b,0.12 0.00 1.00 0.91
25,dfd7ede0654f74c7,0.38 0.00 1.00 1.00
18332,2c943767172bac37,0.23 0.13 0.71 0.82
11716,2d02ff2fb724ca76,0.00 0.00 1.00 1.00
7298,779fd3145976db45,0.02 0.05 0.95 0.72
947,9e376c93626202f2,0.14 0.00 1.00 1.00
2313,606362a642eaa28b,0.27 0.05 0.63 0.96
5726,9eaa8498998c3f07,0.34 0.00 0.60 0.79
27926,30d45671e5cdad62,0.39 0.43 0.69 0.66
27658,b082af3c004e054a,0.18 0.18 0.82 0.85
18959,61273b857fd0d9ac,0.08 0.00 0.93 0.96
4664,6267b37e6a0d1619,0.00 0.00 0.48 1.00
15100,62cfe68fbc62df90,0.08 0.00 0.70 1.00
3292,2cd819713c237edc,0.24 0.07 1.00 1.00
13544,7a978905b3863da1,0.27 0.30 0.54 0.69
1148,2e959633765694ca,0.55 0.00 1.00 1.00
31035,fef8f112fa59bde2,0.20 0.00 0.74 1.00
16854,49dc5a1236ba0616,0.08 0.00 0.70 1.00
4345,2b682aba74a9f8b4,0.04 0.00 0.84 0.95
6524,738463508460182d,0.02 0.00 0.79 0.50
12950,2e3e655c0445656f,0.31 0.00 0.69 1.00
3587,2ba47ed9cad782d7,0.20 0.22 0.70 0.74
17646,2d148f7fd83de844,0.17 0.00 0.51 1.00
5217,b089931618ce28fe,0.00 0.00 1.00 0.94
629,606f892d6adf52f7,0.00 0.00 1.00 1.00
25246,bd3000a5bb9e5c59,0.00 0.00 0.85 1.00
28357,2d480ca09a42c38c,0.08 0.00 0.56 1.00
23218,2df019c0c2e41f0d,0.00 0.00 0.45 0.80
30565,30afb4d017ba1f51,0.00 0.00 1.00 1.00
7329,b499624cbc4dc5d3,0.28 0.00 1.00 1.00
9393,31e49db98d5ee032,0.00 0.11 0.62 0.87
14668,0b114a98e51edd6a,0.40 0.00 1.00 1.00
5454,316d3cb6599e0e7e,0.27 0.00 0.60 1.00
5598,325ef2002ee1d89c,0.26 0.09 1.00 0.71
20490,2a2c5e7b2b3897e9,0.00 0.00 0.86 0.39
20581,b1cf9d96b7de4ac5,0.00 0.00 1.00 1.00
20818,797f9f5d1ad580f9,0.00 0.00 1.00 1.00
13143,7cb853b889205a66,0.37 0.62 0.46 0.83
11223,7b2681e8ab19d634,0.00 0.21 0.97 1.00
3406,319d71df30f096ea,0.27 0.33 0.48 0.61
14270,3331c23aa446b09f,0.00 0.14 0.33 0.60
9728,78a09d67030a5998,0.14 0.33 0.54 0.50
28440,6101e66a92bccd0b,0.02 0.26 1.00 0.72
9409,9f41204f86bc4f62,0.03 0.52 0.54 0.71
